vintage,building_type,size,climate,care,lca,lshp,customer_count
2030,res_unknown,allSize,hot_dry,Care,NoLCA,NitePeak,1143
2030,res_unknown,allSize,hot_dry,Care,North,allLshp,554
2030,res_unknown,allSize,hot_dry,Care,Sierra,allLshp,100225
2030,res_unknown,allSize,hot_dry,Care,Stockton,allLshp,70233
2030,res_unknown,allSize,hot_dry,nonCare,Bay,AllDay,33781
2030,res_unknown,allSize,hot_dry,nonCare,Bay,DayEve,49742
2030,res_unknown,allSize,hot_dry,nonCare,Bay,EarlyEve,128315
2030,res_unknown,allSize,hot_dry,nonCare,Bay,FlatCool,35693
2030,res_unknown,allSize,hot_dry,nonCare,Bay,LateEve,56323
2030,res_unknown,allSize,hot_dry,nonCare,Bay,MrnEve,60773
2030,res_unknown,allSize,hot_dry,nonCare,Bay,NiteFlat+Flat,27108
2030,res_unknown,allSize,hot_dry,nonCare,Bay,NitePeak,12378
2030,res_unknown,allSize,hot_dry,nonCare,Fresno,AllDay,28652
2030,res_unknown,allSize,hot_dry,nonCare,Fresno,DayEve,49676
2030,res_unknown,allSize,hot_dry,nonCare,Fresno,EarlyEve,77072
2030,res_unknown,allSize,hot_dry,nonCare,Fresno,Flat,13518
2030,res_unknown,allSize,hot_dry,nonCare,Fresno,FlatCool,31678
2030,res_unknown,allSize,hot_dry,nonCare,Fresno,LateEve,58526
2030,res_unknown,allSize,hot_dry,nonCare,Fresno,MrnEve,40829
2030,res_unknown,allSize,hot_dry,nonCare,Fresno,NiteFlat,14064
2030,res_unknown,allSize,hot_dry,nonCare,Fresno,NitePeak,4927
2030,res_unknown,allSize,hot_dry,nonCare,Kern,AllDay,14302
2030,res_unknown,allSize,hot_dry,nonCare,Kern,DayEve,20018
2030,res_unknown,allSize,hot_dry,nonCare,Kern,EarlyEve,15327
2030,res_unknown,allSize,hot_dry,nonCare,Kern,FlatCool,9387
2030,res_unknown,allSize,hot_dry,nonCare,Kern,LateEve,16176
2030,res_unknown,allSize,hot_dry,nonCare,Kern,MrnEve,12736
2030,res_unknown,allSize,hot_dry,nonCare,Kern,NiteFlat+Flat,8108
2030,res_unknown,allSize,hot_dry,nonCare,Kern,NitePeak,981
2030,res_unknown,allSize,hot_dry,nonCare,NoLCA,AllDay,26154
2030,res_unknown,allSize,hot_dry,nonCare,NoLCA,DayEve,44835
2030,res_unknown,allSize,hot_dry,nonCare,NoLCA,EarlyEve,87539
2030,res_unknown,allSize,hot_dry,nonCare,NoLCA,Flat,19942
2030,res_unknown,allSize,hot_dry,nonCare,NoLCA,FlatCool,40950
2030,res_unknown,allSize,hot_dry,nonCare,NoLCA,LateEve,51975
2030,res_unknown,allSize,hot_dry,nonCare,NoLCA,MrnEve,43176
2030,res_unknown,allSize,hot_dry,nonCare,NoLCA,NiteFlat,12426
2030,res_unknown,allSize,hot_dry,nonCare,NoLCA,NitePeak,3949
