vintage,building_type,size,climate,care,lca,lshp,kwh_bin,customer_count,pv_penetration,per_customer_gross_kwh,per_customer_net_kwh,per_pv_adopter_kwh
2025,res_unknown,allSize,hot_dry,nonCare,Bay,NiteFlat+Flat,20_40pct,5356,0.0,419.3,419.3,
2025,res_unknown,allSize,hot_dry,nonCare,Bay,NiteFlat+Flat,40_60pct,5303,0.0246,1163.4,1078.4,3463.7
2025,res_unknown,allSize,hot_dry,nonCare,Bay,NiteFlat+Flat,60_80pct,4968,0.0,2137.6,2137.6,
2025,res_unknown,allSize,hot_dry,nonCare,Bay,NiteFlat+Flat,80_100pct,5106,0.0302,19026.4,18584.3,14641.5
2025,res_unknown,allSize,hot_dry,nonCare,Bay,NitePeak,0_20pct,3145,0.7677,8354.2,1285.7,9207.6
2025,res_unknown,allSize,hot_dry,nonCare,Bay,NitePeak,20_40pct,2758,0.5599,10013.0,5673.6,7750.7
2025,res_unknown,allSize,hot_dry,nonCare,Bay,NitePeak,40_60pct,1987,0.5245,13816.0,9585.1,8067.0
2025,res_unknown,allSize,hot_dry,nonCare,Bay,NitePeak,60_80pct,2024,0.3226,17843.8,14947.0,8978.5
2025,res_unknown,allSize,hot_dry,nonCare,Bay,NitePeak,80_100pct,1929,0.2928,27924.4,25178.7,9376.1
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,AllDay,0_50pct,10599,1.0,11603.8,-11476.5,23080.3
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,AllDay,50_100pct,16818,1.0,14062.9,-42.8,14105.7
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,DayEve,0_20pct,7904,1.0,10726.6,-8207.5,18934.2
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,DayEve,20_40pct,9896,1.0,9918.2,-1454.5,11372.7
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,DayEve,40_60pct,9856,0.4965,9677.7,4119.6,11193.5
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,DayEve,60_80pct,9901,0.2131,11109.8,8382.0,12797.6
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,DayEve,80_100pct,9978,0.1737,17147.7,14783.3,13615.5
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,EarlyEve,0_20pct,11796,1.0,5453.5,-4425.9,9879.4
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,EarlyEve,20_40pct,15654,0.6087,5868.7,324.6,9108.3
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,EarlyEve,40_60pct,15224,0.2051,6273.3,4574.6,8280.3
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,EarlyEve,60_80pct,15654,0.0934,8037.8,7305.1,7847.6
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,EarlyEve,80_100pct,15422,0.0567,11902.9,11313.6,10393.7
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,Flat,0_20pct,2537,0.0,393.2,393.2,
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,Flat,20_40pct,2613,0.0,1022.8,1022.8,
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,Flat,40_60pct,2569,0.0,1590.0,1590.0,
